datetime,temperature,humidity
2024-05-02 15:23:35.297222143,24.9,94
2024-05-02 15:16:46.889416144,24.9,94
2024-05-02 15:09:58.483985526,24.9,95
2024-05-02 15:03:10.064618709,24.9,95
2024-05-02 14:56:21.639627002,24.9,95
2024-05-02 14:49:33.228931812,24.8,95
2024-05-02 14:42:44.801558010,24.8,95
2024-05-02 14:35:56.386460896,24.8,95
2024-05-02 14:29:07.950124893,24.8,95
2024-05-02 14:22:19.520178813,24.8,95
2024-05-02 14:15:31.109157263,24.8,95
2024-05-02 14:08:42.675407381,24.8,95
2024-05-02 14:01:54.226330327,24.8,95
2024-05-02 13:55:05.776116719,24.7,95
2024-05-02 13:48:17.323266695,24.7,95
2024-05-02 13:41:28.884802667,24.7,95
2024-05-02 13:34:40.444518466,24.7,95
2024-05-02 13:27:52.010803536,24.7,95
2024-05-02 13:21:03.587909776,24.7,95
2024-05-02 13:14:15.177040528,24.7,95
2024-05-02 13:07:26.741828814,24.7,95
2024-05-02 13:00:38.319565303,24.6,95
2024-05-02 12:53:49.893859835,24.6,95
2024-05-02 12:47:01.473975195,24.6,95
2024-05-02 12:40:13.058784401,24.6,95
2024-05-02 12:33:24.641060570,24.6,95
2024-05-02 12:26:36.238185572,24.6,95
2024-05-02 12:19:47.840877676,24.6,95
2024-05-02 12:12:59.429372211,24.6,95
2024-05-02 12:06:11.015225421,24.6,95
2024-05-02 11:59:22.584101990,24.5,95
2024-05-02 11:52:34.165089731,24.5,95
2024-05-02 11:45:45.742174917,24.5,95
2024-05-02 11:38:57.347109345,24.5,95
2024-05-02 11:32:08.915670937,24.5,95
2024-05-02 11:25:20.481858037,24.5,95
2024-05-02 11:18:32.049380911,24.5,95
2024-05-02 11:11:43.636337033,24.5,95
2024-05-02 11:04:55.192679061,24.5,95
2024-05-02 10:58:06.755789625,24.5,95
2024-05-02 10:51:18.317555509,24.5,95
2024-05-02 10:44:29.893300788,24.5,95
2024-05-02 10:37:41.454042419,24.5,95
2024-05-02 10:30:53.013218488,24.5,95
2024-05-02 10:24:04.571112955,24.5,95
2024-05-02 10:17:16.154335149,24.5,95
2024-05-02 10:10:27.712662418,24.5,95
2024-05-02 10:03:39.282413509,24.5,95
2024-05-02 09:56:50.867911738,24.5,95
2024-05-02 09:50:02.423666599,24.5,95
2024-05-02 09:43:13.987340453,24.5,95
2024-05-02 09:36:25.557551733,24.6,95
2024-05-02 09:29:37.116485689,24.6,95
